Column1,Column12,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9
R,2,10.0026,-0.661119,2.97834,1.47701E+15,7.95,-6.2,1.8197,-2.72955
L,1,8.05619,-6.36041,,1.47701E+15,8.05,-6.35,1.81969,-2.72953
R,2,10.5053,-0.671666,3.05024,1.47701E+15,8.15,-6.5,1.8187,-2.72807
L,1,8.25446,-6.64851,,1.47701E+15,8.25,-6.65,1.81869,-2.72804
R,2,10.7287,-0.683001,1.92616,1.47701E+15,8.3,-6.75,0.908979,-1.81795
L,1,8.31728,-6.8399,,1.47701E+15,8.35,-6.85,0.908979,-1.81795
R,2,10.7785,-0.696037,2.49181,1.47701E+15,8.4,-7,0.909094,-2.72732
L,1,8.44183,-7.15372,,1.47701E+15,8.45,-7.15,0.909102,-2.72732
R,2,11.2099,-0.704456,3.11293,1.47701E+15,8.55,-7.3,1.81751,-2.72628
L,1,8.65899,-7.4699,,1.47701E+15,8.65,-7.45,1.81752,-2.72628
R,2,11.7082,-0.715625,1.98212,1.47701E+15,8.7,-7.55,0.908615,-1.81723
L,1,8.76769,-7.64094,,1.47701E+15,8.75,-7.65,0.908607,-1.81721
R,2,11.6937,-0.721585,3.12809,1.47701E+15,8.85,-7.8,1.8215,-2.73224
L,1,8.95669,-7.95155,,1.47701E+15,8.95,-7.95,1.82148,-2.73221
R,2,12.2718,-0.734453,2.87621,1.47701E+15,9,-8.1,0.999025,-2.99707
L,1,9.05476,-8.24211,,1.47701E+15,9.05,-8.25,0.999015,-2.99704
R,2,12.4149,-0.743549,1.7167,1.47701E+15,9.1,-8.35,0.908285,-1.81657
L,1,9.14025,-8.44981,,1.47701E+15,9.15,-8.45,0.908268,-1.81655
R,2,12.6031,-0.750086,2.60268,1.47701E+15,9.2,-8.6,0.91012,-2.73036
L,1,9.25031,-8.76071,,1.47701E+15,9.25,-8.75,0.910112,-2.73033
R,2,12.8797,-0.763778,2.57907,1.47701E+15,9.3,-8.9,0.909524,-2.72856
L,1,9.34431,-9.04587,,1.47701E+15,9.35,-9.05,0.909524,-2.72856
R,2,13.1448,-0.77402,2.8177,1.47701E+15,9.4,-9.2,0.999066,-2.99725
L,1,9.4452,-9.37195,,1.47701E+15,9.45,-9.35,0.999075,-2.99724
R,2,13.4009,-0.784169,2.57406,1.47701E+15,9.5,-9.5,0.909706,-2.7291
L,1,9.55098,-9.64789,,1.47701E+15,9.55,-9.65,0.909706,-2.7291
R,2,13.6665,-0.79492,2.7101,1.47701E+15,9.6,-9.8,1.00048,-3.00143
L,1,9.62408,-9.94149,,1.47701E+15,9.65,-9.95,1.00046,-3.00141
R,2,13.8463,-0.803265,2.26838,1.47701E+15,9.7,-10.05,0.998785,-1.99755
L,1,9.7457,-10.1502,,1.47701E+15,9.75,-10.15,0.998775,-1.99754
R,2,14.223,-0.812853,1.76448,1.47701E+15,9.75,-10.3,0,-2.72851
L,1,9.76557,-10.4501,,1.47701E+15,9.75,-10.45,0,-2.72849
R,2,14.5847,-0.825059,2.61823,1.47701E+15,9.8,-10.6,0.909012,-2.72704
L,1,9.85066,-10.7537,,1.47701E+15,9.85,-10.75,0.909012,-2.72703
R,2,14.7085,-0.837569,2.00573,1.47701E+15,9.85,-10.9,0,-3.00318
L,1,9.85693,-11.0512,,1.47701E+15,9.85,-11.05,0,-3.00316
R,2,14.7337,-0.847854,2.31145,1.47701E+15,9.85,-11.2,0,-3.00013
L,1,9.84407,-11.3565,,1.47701E+15,9.85,-11.35,0,-3.00012
R,2,15.0821,-0.863946,2.42247,1.47701E+15,9.85,-11.5,0,-2.99592
L,1,9.83943,-11.6467,,1.47701E+15,9.85,-11.65,0,-2.99592
R,2,15.2386,-0.875133,0.900904,1.47701E+15,9.8,-11.75,-0.908731,-1.81746
L,1,9.74774,-11.8511,,1.47701E+15,9.75,-11.85,-0.908731,-1.81746
R,2,15.5821,-0.891812,1.52511,1.47701E+15,9.7,-12,-0.909591,-2.72875
L,1,9.64482,-12.1455,,1.47701E+15,9.65,-12.15,-0.909582,-2.72873
R,2,15.5818,-0.909263,1.55806,1.47701E+15,9.6,-12.3,-0.908879,-2.72667
L,1,9.55167,-12.4583,,1.47701E+15,9.55,-12.45,-0.908879,-2.72665
R,2,15.6094,-0.92684,0.530042,1.47701E+15,9.45,-12.55,-1.82006,-1.82006
L,1,9.359,-12.6499,,1.47701E+15,9.35,-12.65,-1.82005,-1.82005
R,2,15.647,-0.945318,-0.172995,1.47701E+15,9.2,-12.75,-3.00047,-2.00033
L,1,9.028,-12.8337,,1.47701E+15,9.05,-12.85,-3.00048,-2.00033
R,2,15.5629,-0.965203,-0.227325,1.47701E+15,8.95,-12.9,-1.81543,-0.907707
L,1,8.84257,-12.9684,,1.47701E+15,8.85,-12.95,-1.81542,-0.907708
R,2,15.6346,-0.983091,-0.00852268,1.47701E+15,8.7,-13.05,-2.73134,-1.82089
L,1,8.55319,-13.1445,,1.47701E+15,8.55,-13.15,-2.73135,-1.82089
R,2,15.4056,-1.00393,-1.71054,1.47701E+15,8.4,-13.15,-2.99683,0
L,1,8.25965,-13.1488,,1.47701E+15,8.25,-13.15,-2.9968,0
R,2,15.3433,-1.01881,-0.506483,1.47701E+15,8.1,-13.2,-2.72707,-0.909028
L,1,7.95841,-13.2508,,1.47701E+15,7.95,-13.25,-2.72705,-0.90902
R,2,15.5514,-1.04048,-1.31109,1.47701E+15,7.8,-13.25,-2.7295,0
L,1,7.62489,-13.249,,1.47701E+15,7.65,-13.25,-2.7295,0
R,2,15.2679,-1.05671,-1.35977,1.47701E+15,7.5,-13.25,-2.99994,0
L,1,7.3419,-13.2474,,1.47701E+15,7.35,-13.25,-2.99994,0
R,2,15.0325,-1.07149,-2.14048,1.47701E+15,7.2,-13.2,-2.72698,0.908995
L,1,7.04935,-13.1606,,1.47701E+15,7.05,-13.15,-2.72695,0.908987
R,2,14.707,-1.09054,-1.80307,1.47701E+15,6.85,-13.15,-3.63709,0
L,1,6.65123,-13.1604,,1.47701E+15,6.65,-13.15,-3.63709,0
R,2,14.7389,-1.11096,-2.29967,1.47701E+15,6.5,-13.1,-3.0006,1.00018
L,1,6.35317,-13.0396,,1.47701E+15,6.35,-13.05,-3.0006,1.00019
R,2,14.5358,-1.1248,-0.815348,1.47701E+15,6.25,-13.05,-1.81729,0
L,1,6.14459,-13.0471,,1.47701E+15,6.15,-13.05,-1.81729,0
R,2,14.2651,-1.13707,-2.63142,1.47701E+15,6,-12.95,-2.72861,1.81906
L,1,5.86379,-12.8408,,1.47701E+15,5.85,-12.85,-2.72861,1.81907
R,2,14.0885,-1.15135,-2.17259,1.47701E+15,5.7,-12.8,-2.99988,0.999964
L,1,5.55118,-12.7486,,1.47701E+15,5.55,-12.75,-2.99985,0.999954
R,2,13.857,-1.16639,-1.77211,1.47701E+15,5.45,-12.7,-2.00001,1
L,1,5.35556,-12.6423,,1.47701E+15,5.35,-12.65,-1.99998,0.999994
R,2,13.6105,-1.17364,-2.55514,1.47701E+15,5.25,-12.55,-1.99732,1.99733
L,1,5.13769,-12.4355,,1.47701E+15,5.15,-12.45,-1.9973,1.9973
R,2,13.5812,-1.18332,-2.44489,1.47701E+15,5.05,-12.35,-1.8206,1.82059
L,1,4.94432,-12.2438,,1.47701E+15,4.95,-12.25,-1.82058,1.82058
R,2,13.1093,-1.18836,-3.51972,1.47701E+15,4.85,-12.1,-1.9998,2.99969
L,1,4.75047,-11.9578,,1.47701E+15,4.75,-11.95,-1.9998,2.9997
R,2,12.6605,-1.19538,-2.32022,1.47701E+15,4.7,-11.85,-1.00002,2.00003
L,1,4.63967,-11.7513,,1.47701E+15,4.65,-11.75,-1.00001,2.00002
R,2,12.5025,-1.19544,-3.28171,1.47701E+15,4.6,-11.6,-0.998955,2.99688
L,1,4.56619,-11.4576,,1.47701E+15,4.55,-11.45,-0.99896,2.99689
R,2,12.067,-1.19146,-3.21867,1.47701E+15,4.5,-11.3,-1.00106,3.00319
L,1,4.46017,-11.1425,,1.47701E+15,4.45,-11.15,-1.00106,3.00319
R,2,11.9516,-1.19047,-1.86393,1.47701E+15,4.45,-11.05,0,1.8168
L,1,4.43803,-10.9525,,1.47701E+15,4.45,-10.95,0,1.81679
R,2,11.5778,-1.18044,-2.7544,1.47701E+15,4.45,-10.8,0,3.00139
L,1,4.45507,-10.6618,,1.47701E+15,4.45,-10.65,0,3.00138
R,2,11.4567,-1.17215,-1.64771,1.47701E+15,4.45,-10.55,0,2.00041
L,1,4.45187,-10.4417,,1.47701E+15,4.45,-10.45,0,2.00038
R,2,11.1439,-1.15943,-2.22282,1.47701E+15,4.5,-10.3,0.999584,2.99875
L,1,4.55349,-10.1343,,1.47701E+15,4.55,-10.15,0.999574,2.99871
R,2,10.9977,-1.14265,-2.49001,1.47701E+15,4.55,-10,0,2.72717
L,1,4.55922,-9.84124,,1.47701E+15,4.55,-9.85,0,2.72714
R,2,10.7057,-1.12424,-1.78171,1.47701E+15,4.65,-9.7,1.8193,2.72895
L,1,4.7439,-9.53522,,1.47701E+15,4.75,-9.55,1.81929,2.72894
R,2,10.4189,-1.09757,-2.33568,1.47701E+15,4.8,-9.4,1.00006,3.00019
L,1,4.8446,-9.24095,,1.47701E+15,4.85,-9.25,1.00005,3.00015
R,2,10.4688,-1.07438,-0.809142,1.47701E+15,4.95,-9.15,2.00004,2.00005
L,1,5.02283,-9.03066,,1.47701E+15,5.05,-9.05,2.00004,2.00004
R,2,10.323,-1.05092,-2.02017,1.47701E+15,5.1,-8.9,0.999704,2.99911
L,1,5.14109,-8.73073,,1.47701E+15,5.15,-8.75,0.999689,2.99907
R,2,10.3067,-1.02629,-0.584474,1.47701E+15,5.25,-8.65,1.81848,1.81849
L,1,5.36408,-8.56805,,1.47701E+15,5.35,-8.55,1.81846,1.81846
R,2,9.90444,-0.995544,-1.4781,1.47701E+15,5.45,-8.4,2.00068,3.00103
L,1,5.53874,-8.25196,,1.47701E+15,5.55,-8.25,2.00066,3.00099
R,2,9.78462,-0.965647,-0.333006,1.47701E+15,5.65,-8.15,1.99952,1.99953
L,1,5.7459,-8.05196,,1.47701E+15,5.75,-8.05,1.9995,1.9995
R,2,9.80473,-0.939805,-0.960882,1.47701E+15,5.8,-7.95,0.999944,1.99989
L,1,5.84978,-7.88144,,1.47701E+15,5.85,-7.85,0.999939,1.99988
R,2,9.71238,-0.915003,-0.433286,1.47701E+15,5.95,-7.75,1.99772,1.99772
L,1,6.04031,-7.64732,,1.47701E+15,6.05,-7.65,1.99771,1.9977
R,2,9.7524,-0.886108,-0.238878,1.47701E+15,6.15,-7.55,1.8199,1.8199
L,1,6.23866,-7.45306,,1.47701E+15,6.25,-7.45,1.8199,1.81991
R,2,9.5193,-0.854097,0.571373,1.47701E+15,6.4,-7.35,2.99605,1.99736
L,1,6.55461,-7.24907,,1.47701E+15,6.55,-7.25,2.99605,1.99736
R,2,9.83822,-0.825564,0.654754,1.47701E+15,6.65,-7.2,1.8206,0.910303
L,1,6.74664,-7.15616,,1.47701E+15,6.75,-7.15,1.8206,0.910298
R,2,9.75541,-0.799682,-0.0700368,1.47701E+15,6.85,-7.05,1.99848,1.99848
L,1,6.95342,-6.96092,,1.47701E+15,6.95,-6.95,1.99846,1.99846
R,2,9.98866,-0.768765,0.81251,1.47701E+15,7.1,-6.85,2.72688,1.81792
L,1,7.24929,-6.7261,,1.47701E+15,7.25,-6.75,2.72688,1.81792
R,2,10.0188,-0.735659,0.0377937,1.47701E+15,7.35,-6.65,1.81821,1.81821
L,1,7.46332,-6.54842,,1.47701E+15,7.45,-6.55,1.81821,1.81821
R,2,9.96291,-0.711687,0.751952,1.47701E+15,7.55,-6.5,1.81726,0.908632
L,1,7.65373,-6.46481,,1.47701E+15,7.65,-6.45,1.81726,0.908632
R,2,10.1729,-0.687264,1.46825,1.47701E+15,7.8,-6.4,2.72951,0.909839
L,1,7.94162,-6.34466,,1.47701E+15,7.95,-6.35,2.72948,0.909826
R,2,9.98859,-0.65929,0.432862,1.47701E+15,8.05,-6.25,2.00047,2.00048
L,1,8.12355,-6.14389,,1.47701E+15,8.15,-6.15,2.00048,2.00048
R,2,10.2866,-0.629609,1.03301,1.47701E+15,8.3,-6.05,2.72702,1.81801
L,1,8.45315,-5.97158,,1.47701E+15,8.45,-5.95,2.727,1.818
R,2,10.375,-0.605303,0.959092,1.47701E+15,8.55,-5.9,2.00127,1.00064
L,1,8.64207,-5.83392,,1.47701E+15,8.65,-5.85,2.00128,1.00064
R,2,10.625,-0.579961,1.49575,1.47701E+15,8.8,-5.75,2.99963,1.99976
L,1,8.94256,-5.64534,,1.47701E+15,8.95,-5.65,2.99961,1.99974
R,2,10.8081,-0.549553,0.759227,1.47701E+15,9.05,-5.55,1.99699,1.997
L,1,9.15342,-5.45253,,1.47701E+15,9.15,-5.45,1.997,1.99701
R,2,10.5876,-0.523958,0.708015,1.47701E+15,9.25,-5.35,1.8166,1.81659
L,1,9.34852,-5.23619,,1.47701E+15,9.35,-5.25,1.8166,1.81659
R,2,10.6878,-0.497879,0.724693,1.47701E+15,9.45,-5.15,1.8222,1.82219
L,1,9.54207,-5.04728,,1.47701E+15,9.55,-5.05,1.82219,1.82219
R,2,10.8597,-0.480893,1.35607,1.47701E+15,9.65,-5,1.99604,0.998028
L,1,9.75,-4.94288,,1.47701E+15,9.75,-4.95,1.99605,0.998028
R,2,11.0125,-0.457284,0.645184,1.47701E+15,9.85,-4.85,1.81895,1.81894
L,1,9.94502,-4.76247,,1.47701E+15,9.95,-4.75,1.81894,1.81894
R,2,11.0854,-0.430334,0.501275,1.47701E+15,10.05,-4.6,1.81966,2.72951
L,1,10.1384,-4.4533,,1.47701E+15,10.15,-4.45,1.81965,2.72948
R,2,11.0567,-0.402233,0.823486,1.47701E+15,10.25,-4.35,1.81908,1.81907
L,1,10.3492,-4.25956,,1.47701E+15,10.35,-4.25,1.81908,1.81907
R,2,11.3494,-0.375162,0.778181,1.47701E+15,10.45,-4.1,2.00061,3.0009
L,1,10.5557,-3.96034,,1.47701E+15,10.55,-3.95,2.0006,3.0009
R,2,11.455,-0.3466,1.31515,1.47701E+15,10.65,-3.85,1.99963,1.99964
L,1,10.7394,-3.74821,,1.47701E+15,10.75,-3.75,1.99962,1.99962
R,2,11.3478,-0.321223,-0.147548,1.47701E+15,10.8,-3.6,0.999844,2.99952
L,1,10.8596,-3.4348,,1.47701E+15,10.85,-3.45,0.999834,2.99949
R,2,11.4637,-0.297497,1.34361,1.47701E+15,10.95,-3.35,2.00065,2.00064
L,1,11.0504,-3.25128,,1.47701E+15,11.05,-3.25,2.00064,2.00064
R,2,11.4488,-0.271915,0.00655611,1.47701E+15,11.1,-3.1,0.998546,2.99563
L,1,11.1569,-2.944,,1.47701E+15,11.15,-2.95,0.998526,2.9956
R,2,11.4825,-0.245369,-0.702556,1.47701E+15,11.15,-2.8,0,2.73104
L,1,11.141,-2.65084,,1.47701E+15,11.15,-2.65,0,2.73102
R,2,11.3918,-0.225176,-0.449848,1.47701E+15,11.15,-2.55,0,1.81785
L,1,11.1497,-2.45904,,1.47701E+15,11.15,-2.45,0,1.81785
R,2,11.3915,-0.199406,1.24065,1.47701E+15,11.25,-2.25,1.99733,3.99465
L,1,11.3591,-2.05184,,1.47701E+15,11.35,-2.05,1.99733,3.99465
R,2,11.4735,-0.168155,-0.239169,1.47701E+15,11.35,-1.95,0,1.81854
L,1,11.3504,-1.8663,,1.47701E+15,11.35,-1.85,0,1.81853
R,2,11.5444,-0.147849,-0.188915,1.47701E+15,11.35,-1.7,0,2.72762
L,1,11.3568,-1.53205,,1.47701E+15,11.35,-1.55,0,2.72762
R,2,11.3388,-0.12234,-1.27743,1.47701E+15,11.3,-1.4,-0.908846,2.72653
L,1,11.2429,-1.24238,,1.47701E+15,11.25,-1.25,-0.908846,2.72653
R,2,11.1287,-0.0978734,-1.86279,1.47701E+15,11.15,-1.1,-1.82014,2.73021
L,1,11.0544,-0.927069,,1.47701E+15,11.05,-0.949999,-1.82013,2.73021
R,2,10.9533,-0.0723018,-1.45714,1.47701E+15,11,-0.799999,-1.00036,3.00107
L,1,10.9434,-0.640459,,1.47701E+15,10.95,-0.65,-1.00035,3.00104
R,2,10.7256,-0.0453229,-2.2716,1.47701E+15,10.85,-0.5,-2.00003,3.00006
L,1,10.7471,-0.362528,,1.47701E+15,10.75,-0.35,-2.00002,3.00003
R,2,10.6938,-0.0284812,-1.8134,1.47701E+15,10.65,-0.3,-1.81779,0.908892
L,1,10.547,-0.266677,,1.47701E+15,10.55,-0.25,-1.81778,0.908893
R,2,10.5043,-0.0147089,-2.93008,1.47701E+15,10.4,-0.15,-3.00061,2.00041
L,1,10.2485,-0.0475524,,1.47701E+15,10.25,-0.0499992,-3.0006,2.00041
R,2,10.141,-0.00711558,-1.90917,1.47701E+15,10.15,-0.0499992,-1.99645,0
L,1,10.0313,-0.0518611,,1.47701E+15,10.05,-0.0499992,-1.99644,0
R,2,10.0898,-0.000164915,-2.6309,1.47701E+15,9.9,9.49949E-07,-2.73175,0.910584
L,1,9.74695,0.0464954,,1.47701E+15,9.75,0.0500011,-2.73174,0.910584
R,2,9.50438,0.00876647,-3.02557,1.47701E+15,9.6,0.100001,-2.99544,0.998471
L,1,9.45825,0.149456,,1.47701E+15,9.45,0.15,-2.99545,0.998471
R,2,9.22961,0.0175293,-1.86965,1.47701E+15,9.35,0.15,-1.81963,0
L,1,9.24456,0.139817,,1.47701E+15,9.25,0.15,-1.81962,0
R,2,9.07524,0.0226968,-2.96695,1.47701E+15,9.1,0.2,-3.00059,1.0002
L,1,8.96281,0.250937,,1.47701E+15,8.95,0.25,-3.0006,1.0002
R,2,8.84543,0.0291284,-2.90258,1.47701E+15,8.8,0.25,-2.99995,0
L,1,8.65606,0.24536,,1.47701E+15,8.65,0.25,-2.99994,0
R,2,8.43911,0.029295,-2.8363,1.47701E+15,8.5,0.25,-2.99323,0
L,1,8.34184,0.250769,,1.47701E+15,8.35,0.25,-2.9932,0
R,2,8.27433,0.0294916,-2.5969,1.47701E+15,8.2,0.25,-2.73233,0
L,1,8.03847,0.260731,,1.47701E+15,8.05,0.25,-2.73234,0
R,2,7.98315,0.0256301,-2.85879,1.47701E+15,7.9,0.2,-3.00234,-1.00078
L,1,7.73327,0.149199,,1.47701E+15,7.75,0.15,-3.00231,-1.00077
R,2,7.46312,0.019266,-3.11504,1.47701E+15,7.6,0.15,-2.99599,0
L,1,7.45455,0.149294,,1.47701E+15,7.45,0.15,-2.99596,0
R,2,7.38047,0.0128858,-1.78619,1.47701E+15,7.35,0.100001,-1.81801,-0.908998
L,1,7.26713,0.055036,,1.47701E+15,7.25,0.0500011,-1.81801,-0.908998
R,2,7.32563,-0.00630343,-2.78329,1.47701E+15,7.1,-0.0499995,-2.72495,-1.81664
L,1,6.93127,-0.133333,,1.47701E+15,6.95,-0.15,-2.72492,-1.81662
R,2,7.10159,-0.0371997,-0.867081,1.47701E+15,6.9,-0.25,-0.910634,-1.82126
L,1,6.84796,-0.34284,,1.47701E+15,6.85,-0.35,-0.910622,-1.82124
R,2,6.66164,-0.0676942,-3.03601,1.47701E+15,6.7,-0.45,-2.99641,-1.99759
L,1,6.54772,-0.536719,,1.47701E+15,6.55,-0.549999,-2.99637,-1.99757
R,2,6.54413,-0.109938,-0.762244,1.47701E+15,6.5,-0.7,-0.909955,-2.72986
L,1,6.45451,-0.851695,,1.47701E+15,6.45,-0.85,-0.909955,-2.72986
R,2,6.50274,-0.154318,-0.418379,1.47701E+15,6.4,-1,-0.999224,-2.99766
L,1,6.3554,-1.1624,,1.47701E+15,6.35,-1.15,-0.99921,-2.99763
R,2,6.27693,-0.205206,-0.50992,1.47701E+15,6.3,-1.3,-0.908722,-2.72618
L,1,6.2299,-1.45381,,1.47701E+15,6.25,-1.45,-0.908718,-2.72616
R,2,6.57101,-0.247004,1.50277,1.47701E+15,6.3,-1.6,0.910485,-2.73144
L,1,6.34473,-1.75136,,1.47701E+15,6.35,-1.75,0.910481,-2.73144
R,2,6.61568,-0.2897,0.888256,1.47701E+15,6.35,-1.9,0,-2.99515
L,1,6.35828,-2.03886,,1.47701E+15,6.35,-2.05,0,-2.99515
R,2,6.82616,-0.333515,0.963947,1.47701E+15,6.35,-2.2,0,-2.72856
L,1,6.34057,-2.34076,,1.47701E+15,6.35,-2.35,0,-2.72854
R,2,6.98476,-0.375575,1.93359,1.47701E+15,6.4,-2.5,0.908227,-2.7247
L,1,6.45265,-2.65056,,1.47701E+15,6.45,-2.65,0.908223,-2.72467
R,2,7.04974,-0.410031,0.8694,1.47701E+15,6.45,-2.8,0,-2.72732
L,1,6.45762,-2.94003,,1.47701E+15,6.45,-2.95,0,-2.7273
R,2,7.07693,-0.451697,2.31494,1.47701E+15,6.5,-3.15,0.909078,-3.6363
L,1,6.54349,-3.33906,,1.47701E+15,6.55,-3.35,0.90907,-3.63626
R,2,7.52682,-0.488801,2.06302,1.47701E+15,6.6,-3.5,0.910038,-2.7301
L,1,6.65608,-3.67065,,1.47701E+15,6.65,-3.65,0.910033,-2.7301
R,2,7.721,-0.51755,2.03882,1.47701E+15,6.7,-3.8,0.908095,-2.7243
L,1,6.74422,-3.95901,,1.47701E+15,6.75,-3.95,0.908091,-2.72428
R,2,7.85227,-0.5424,1.92133,1.47701E+15,6.8,-4.1,0.910949,-2.73284
L,1,6.83817,-4.25449,,1.47701E+15,6.85,-4.25,0.910945,-2.73284
R,2,8.11508,-0.562462,1.69022,1.47701E+15,6.9,-4.35,0.999834,-1.99968
L,1,6.94879,-4.45387,,1.47701E+15,6.95,-4.45,0.999829,-1.99966
R,2,8.35836,-0.579578,3.03057,1.47701E+15,7.05,-4.6,1.99653,-2.99479
L,1,7.14339,-4.76622,,1.47701E+15,7.15,-4.75,1.99653,-2.99479
R,2,8.58227,-0.592606,2.07227,1.47701E+15,7.2,-4.85,1.00098,-2.00196
L,1,7.25883,-4.94719,,1.47701E+15,7.25,-4.95,1.00097,-2.00194
R,2,8.88891,-0.610082,2.25633,1.47701E+15,7.3,-5.1,0.90969,-2.72906
L,1,7.33925,-5.24908,,1.47701E+15,7.35,-5.25,0.909677,-2.72904
R,2,9.05785,-0.626214,3.44331,1.47701E+15,7.45,-5.4,1.99976,-2.99964
L,1,7.5499,-5.55354,,1.47701E+15,7.55,-5.55,1.99976,-2.99964
R,2,9.4601,-0.639334,2.07117,1.47701E+15,7.6,-5.65,1.00038,-2.00076
L,1,7.64483,-5.73357,,1.47701E+15,7.65,-5.75,1.00037,-2.00074
R,2,9.60303,-0.650794,2.99934,1.47701E+15,7.75,-5.9,1.81659,-2.7249
L,1,7.84396,-6.051,,1.47701E+15,7.85,-6.05,1.81659,-2.7249
R,2,10.0235,-0.660739,1.82872,1.47701E+15,7.9,-6.15,0.909251,-1.81851
L,1,7.95018,-6.25957,,1.47701E+15,7.95,-6.25,0.909247,-1.81849
R,2,10.3121,-0.667107,2.66075,1.47701E+15,8.05,-6.35,1.81576,-1.81577
L,1,8.15891,-6.45832,,1.47701E+15,8.15,-6.45,1.81577,-1.81577
R,2,10.6726,-0.673465,3.0068,1.47701E+15,8.25,-6.6,1.8218,-2.73269
L,1,8.33273,-6.74641,,1.47701E+15,8.35,-6.75,1.8218,-2.73269
R,2,10.9601,-0.688074,2.42458,1.47701E+15,8.4,-6.9,0.907987,-2.72401
L,1,8.44383,-7.03914,,1.47701E+15,8.45,-7.05,0.907988,-2.72398
R,2,11.191,-0.703148,2.55121,1.47701E+15,8.5,-7.2,0.910054,-2.73014
L,1,8.55761,-7.36836,,1.47701E+15,8.55,-7.35,0.910046,-2.73012
R,2,11.4834,-0.710496,2.74755,1.47701E+15,8.65,-7.45,1.99827,-1.99828
L,1,8.7565,-7.55536,,1.47701E+15,8.75,-7.55,1.99828,-1.99828
R,2,11.6331,-0.719838,2.5798,1.47701E+15,8.8,-7.7,0.909061,-2.72717
L,1,8.85031,-7.85391,,1.47701E+15,8.85,-7.85,0.909053,-2.72715
R,2,11.9356,-0.731085,2.49207,1.47701E+15,8.9,-8,0.908945,-2.72688
L,1,8.95085,-8.16397,,1.47701E+15,8.95,-8.15,0.908953,-2.72687
R,2,12.2284,-0.739285,2.50621,1.47701E+15,9.05,-8.25,1.82026,-1.82027
L,1,9.15149,-8.34807,,1.47701E+15,9.15,-8.35,1.82025,-1.82026
R,2,12.4412,-0.745624,2.97957,1.47701E+15,9.2,-8.5,0.999884,-2.99963
L,1,9.22902,-8.65053,,1.47701E+15,9.25,-8.65,0.999874,-2.9996
R,2,12.7039,-0.756748,2.71995,1.47701E+15,9.3,-8.8,0.999284,-2.99783
L,1,9.36398,-8.95164,,1.47701E+15,9.35,-8.95,0.999284,-2.99784
R,2,13.1658,-0.767119,1.91016,1.47701E+15,9.4,-9.05,0.909209,-1.81844
L,1,9.43696,-9.1575,,1.47701E+15,9.45,-9.15,0.90921,-1.81843
R,2,13.2358,-0.776088,2.49057,1.47701E+15,9.5,-9.3,0.908483,-2.72543
L,1,9.53884,-9.45193,,1.47701E+15,9.55,-9.45,0.908475,-2.72542
R,2,13.696,-0.785123,2.56399,1.47701E+15,9.6,-9.6,0.909756,-2.72927
L,1,9.67284,-9.75791,,1.47701E+15,9.65,-9.75,0.909739,-2.72923
R,2,14.0976,-0.795739,2.84598,1.47701E+15,9.7,-9.9,0.998626,-2.99586
L,1,9.74713,-10.0467,,1.47701E+15,9.75,-10.05,0.998616,-2.99584
R,2,14.1089,-0.807364,1.87476,1.47701E+15,9.75,-10.2,0,-2.72857
L,1,9.74697,-10.3629,,1.47701E+15,9.75,-10.35,0,-2.72854
R,2,14.3022,-0.818543,2.54971,1.47701E+15,9.8,-10.5,0.909773,-2.7293
L,1,9.86261,-10.6462,,1.47701E+15,9.85,-10.65,0.909773,-2.7293
R,2,14.6457,-0.831495,1.87281,1.47701E+15,9.85,-10.8,0,-2.72846
L,1,9.8455,-10.9408,,1.47701E+15,9.85,-10.95,0,-2.72844
R,2,14.8355,-0.845076,2.08863,1.47701E+15,9.85,-11.1,0,-2.72748
L,1,9.83549,-11.2481,,1.47701E+15,9.85,-11.25,0,-2.72745
R,2,15.1415,-0.858804,2.28971,1.47701E+15,9.85,-11.4,0,-2.9967
L,1,9.87136,-11.5692,,1.47701E+15,9.85,-11.55,0,-2.99671
R,2,15.3827,-0.87173,1.57763,1.47701E+15,9.8,-11.7,-0.909227,-2.72768
L,1,9.74749,-11.8623,,1.47701E+15,9.75,-11.85,-0.909218,-2.72765
R,2,15.4788,-0.888766,1.45861,1.47701E+15,9.7,-12,-0.908714,-2.72613
L,1,9.65408,-12.1513,,1.47701E+15,9.65,-12.15,-0.908706,-2.7261
R,2,15.5601,-0.905614,0.938636,1.47701E+15,9.6,-12.25,-0.909639,-1.81931
L,1,9.54006,-12.3354,,1.47701E+15,9.55,-12.35,-0.90964,-1.8193
R,2,15.5217,-0.921231,0.267302,1.47701E+15,9.45,-12.45,-1.81824,-1.81825
L,1,9.35049,-12.5377,,1.47701E+15,9.35,-12.55,-1.81823,-1.81823
R,2,15.8729,-0.942024,-0.053447,1.47701E+15,9.2,-12.65,-2.72578,-1.81718
L,1,9.04708,-12.7528,,1.47701E+15,9.05,-12.75,-2.72576,-1.81717
R,2,15.6473,-0.959771,0.301972,1.47701E+15,8.95,-12.85,-1.8192,-1.81921
L,1,8.84904,-12.9423,,1.47701E+15,8.85,-12.95,-1.81921,-1.81921
R,2,15.5759,-0.982069,0.0451108,1.47701E+15,8.7,-13.05,-2.72781,-1.81854
L,1,8.5479,-13.1496,,1.47701E+15,8.55,-13.15,-2.7278,-1.81853
R,2,15.7178,-1.00436,-1.56759,1.47701E+15,8.4,-13.15,-2.72644,0
